## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[output/bwa/alignment/510-7-BRCA_S8_L001.sorted.bam] OUTPUT=output/bwa/marked/510-7-BRCA_S8_L001.bam METRICS_FILE=output/bwa/marked/510-7-BRCA_S8_L001.metrics.txt REMOVE_DUPLICATES=true TMP_DIR=[output/tmp] VALIDATION_STRINGENCY=STRICT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Aug 26 19:35:13 GMT-03:00 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	36	62207	43	0	26	6477	25	0.104299	278536

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000359	50950	0	50968
2.0	1.800492	3746	25	3733
3.0	2.440476	668	0	665
4.0	2.952364	194	0	192
5.0	3.361796	74	0	74
6.0	3.689279	30	0	30
7.0	3.951215	15	0	15
8.0	4.160724	6	0	6
9.0	4.328299	0	0	0
10.0	4.462333	1	0	1
11.0	4.569539	2	0	2
12.0	4.655288	1	0	1
13.0	4.723874	1	0	1
14.0	4.778732	0	0	0
15.0	4.82261	0	0	0
16.0	4.857706	0	0	0
17.0	4.885777	0	0	0
18.0	4.90823	0	0	0
19.0	4.926189	0	0	0
20.0	4.940553	0	0	0
21.0	4.952042	0	0	0
22.0	4.961232	0	0	0
23.0	4.968582	0	0	0
24.0	4.974461	0	0	0
25.0	4.979163	0	0	0
26.0	4.982924	0	0	0
27.0	4.985933	0	0	0
28.0	4.988339	0	0	0
29.0	4.990263	0	0	0
30.0	4.991803	0	0	0
31.0	4.993034	0	0	0
32.0	4.994019	0	0	0
33.0	4.994807	0	0	0
34.0	4.995437	0	0	0
35.0	4.995941	0	0	0
36.0	4.996344	0	0	0
37.0	4.996666	0	0	0
38.0	4.996924	0	0	0
39.0	4.99713	0	0	0
40.0	4.997295	0	0	0
41.0	4.997427	0	0	0
42.0	4.997533	0	0	0
43.0	4.997617	0	0	0
44.0	4.997685	0	0	0
45.0	4.997739	0	0	0
46.0	4.997782	0	0	0
47.0	4.997816	0	0	0
48.0	4.997844	0	0	0
49.0	4.997866	0	0	0
50.0	4.997884	0	0	0
51.0	4.997898	0	0	0
52.0	4.997909	0	0	0
53.0	4.997918	0	0	0
54.0	4.997926	0	0	0
55.0	4.997931	1	0	1
56.0	4.997936	0	0	0
57.0	4.99794	0	0	0
58.0	4.997943	0	0	0
59.0	4.997945	0	0	0
60.0	4.997947	0	0	0
61.0	4.997948	0	0	0
62.0	4.99795	0	0	0
63.0	4.997951	0	0	0
64.0	4.997951	0	0	0
65.0	4.997952	0	0	0
66.0	4.997952	0	0	0
67.0	4.997953	0	0	0
68.0	4.997953	0	0	0
69.0	4.997953	0	0	0
70.0	4.997954	0	0	0
71.0	4.997954	0	0	0
72.0	4.997954	0	0	0
73.0	4.997954	0	0	0
74.0	4.997954	0	0	0
75.0	4.997954	0	0	0
76.0	4.997954	0	0	0
77.0	4.997954	0	0	0
78.0	4.997954	0	0	0
79.0	4.997954	0	0	0
80.0	4.997954	0	0	0
81.0	4.997954	0	0	0
82.0	4.997954	0	0	0
83.0	4.997954	0	0	0
84.0	4.997954	0	0	0
85.0	4.997954	0	0	0
86.0	4.997954	0	0	0
87.0	4.997954	0	0	0
88.0	4.997954	0	0	0
89.0	4.997954	0	0	0
90.0	4.997954	0	0	0
91.0	4.997954	0	0	0
92.0	4.997954	0	0	0
93.0	4.997954	0	0	0
94.0	4.997954	0	0	0
95.0	4.997954	0	0	0
96.0	4.997954	0	0	0
97.0	4.997954	0	0	0
98.0	4.997954	0	0	0
99.0	4.997954	0	0	0
100.0	4.997954	0	0	0
130.0	0	1	0	1

